year,district,DBN,school_name,enrollment,avg_grade_8_english_proficiency,avg_grade_8_math_proficiency,%_ELL,%_disability,%_self_contained,economic_need_index,%_temp_housing,%_HRA_eligible,%_asian,%_black,%_hispanic,%_white,student_attendance_rate,%_chronically_absent
2015,02,02M047,47 The American Sign Language and English Secondar,169,2.40,2.24,0.047,0.254,0.083,0.733,0.107,0.592,0.012,0.284,0.645,0.053,0.881,0.451
2015,08,08X332,Holcombe L. Rucker School of Community Research,236,2.06,1.99,0.110,0.297,0.081,0.836,0.186,0.661,0.004,0.432,0.547,0.004,0.850,0.450
2015,15,15K519,Cobble Hill School of American Studies,596,2.31,2.15,0.091,0.213,0.079,0.693,0.092,0.534,0.045,0.638,0.250,0.044,0.828,0.450
2015,02,02M305,"Urban Assembly Academy of Government and Law, The",329,2.35,2.22,0.033,0.188,0.003,0.749,0.146,0.608,0.058,0.419,0.492,0.027,0.859,0.448
2015,12,12X550,High School of World Cultures,410,1.91,1.94,0.846,0.000,0.000,0.766,0.300,0.439,0.080,0.083,0.802,0.012,0.848,0.448
2015,27,27Q302,"Queens High School for Information, Research, and",381,2.23,2.02,0.186,0.178,0.013,0.611,0.068,0.451,0.042,0.491,0.436,0.021,0.860,0.447
2015,08,08X305,Pablo Neruda Academy,315,2.05,1.96,0.184,0.356,0.022,0.803,0.156,0.619,0.044,0.260,0.676,0.013,0.842,0.447
2015,06,06M462,The College Academy,491,2.05,2.05,0.444,0.210,0.043,0.838,0.169,0.690,0.002,0.090,0.892,0.006,0.852,0.445
2015,06,06M468,High School for Health Careers and Sciences,605,2.20,2.12,0.307,0.182,0.002,0.838,0.205,0.653,0.013,0.159,0.798,0.015,0.857,0.445
2015,09,09X324,Bronx Early College Academy for Teaching & Learnin,503,2.41,2.23,0.068,0.151,0.007,0.819,0.082,0.599,0.036,0.287,0.674,0.004,0.858,0.444
2015,02,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,334,1.83,2.07,0.784,0.033,0.003,0.750,0.263,0.449,0.024,0.048,0.913,0.015,0.851,0.442
2015,08,08X349,Bronx River High School,204,2.18,2.06,0.147,0.240,0.010,0.758,0.157,0.603,0.029,0.299,0.608,0.025,0.875,0.441
2015,23,23K697,Teachers Preparatory High School,390,2.28,2.11,0.031,0.226,0.113,0.712,0.088,0.535,0.003,0.830,0.157,0.006,0.815,0.439
2015,06,06M348,Washington Heights Expeditionary Learning School,705,2.36,2.51,0.147,0.232,0.003,0.840,0.131,0.689,0.003,0.038,0.948,0.005,0.855,0.436
2015,08,08X312,Millennium Art Academy,487,2.26,2.11,0.047,0.294,0.006,0.785,0.092,0.641,0.023,0.300,0.651,0.018,0.855,0.436
2015,21,21K344,Rachel Carson High School for Coastal Studies,560,2.49,2.37,0.105,0.189,0.002,0.601,0.039,0.482,0.102,0.225,0.223,0.436,0.861,0.436
2015,02,02M392,MANHATTAN BUSINESS ACADEMY,438,2.34,2.26,0.055,0.183,0.005,0.715,0.075,0.553,0.034,0.281,0.621,0.039,0.856,0.436
